Date,TXG.Open,TXG.High,TXG.Low,TXG.Close,TXG.Volume,TXG.Adjusted
3/25/2020,57.009998,62.59,55.18,59.990002,535100,59.990002
3/26/2020,60,63.990002,59.990002,61.040001,307400,61.040001
3/27/2020,60.400002,62.099998,59.25,59.990002,148500,59.990002
3/30/2020,61.16,63.84,58.055,62.799999,418800,62.799999
3/31/2020,63.360001,63.360001,60.32,62.32,286200,62.32
4/1/2020,59.799999,60.959999,57.009998,58.389999,424500,58.389999
4/2/2020,58.119999,60.650002,56.810001,59.740002,344200,59.740002
4/3/2020,59.450001,61.400002,58.040001,58.689999,422200,58.689999
4/6/2020,59.130001,62.5,59.130001,62.27,628900,62.27
4/7/2020,62.959999,63.049999,58.110001,60.849998,607200,60.849998
4/8/2020,60.330002,64.550003,59.360001,64.32,494400,64.32
4/9/2020,64.989998,66.306,62.777,65.919998,595100,65.919998
4/13/2020,66.400002,67.480003,62.700001,64.889999,353100,64.889999
4/14/2020,64.220001,67,62.869999,66.75,949900,66.75
4/15/2020,66.120003,67.480003,64.650002,66.800003,396300,66.800003
4/16/2020,67.480003,68.720001,66.260002,68.5,452100,68.5
4/17/2020,69.480003,71.910004,69.279999,71.160004,676000,71.160004
4/20/2020,68.419998,74.980003,67.75,74.199997,692400,74.199997
4/21/2020,74.480003,75.419998,73.544998,74.580002,738500,74.580002
4/22/2020,76.57,76.57,75.010002,76,647800,76
4/23/2020,75.400002,76.419998,72.82,73.940002,631900,73.940002
4/24/2020,73.080002,74.519997,72.775002,74,701700,74
4/27/2020,75,76.769997,74.089996,76.190002,1117800,76.190002
4/28/2020,76.720001,77.440002,75.305,76.260002,522200,76.260002
4/29/2020,77.400002,82.360001,76.25,81.75,1096200,81.75
4/30/2020,81.059998,82.400002,78.660004,79.870003,577000,79.870003
5/1/2020,78.510002,79.800003,76.010002,78.410004,614000,78.410004
5/4/2020,78.330002,78.940002,76.82,77.910004,360200,77.910004
5/5/2020,79.129997,80.139,77.589996,78.169998,664100,78.169998
5/6/2020,78.290001,79.5,77.029999,78.699997,352100,78.699997
5/7/2020,79.510002,81.470001,78.404999,80.809998,599300,80.809998
5/8/2020,80.980003,84.400002,80.5,82.959999,532900,82.959999
5/11/2020,83,85.120003,82.080002,82.099998,786100,82.099998
5/12/2020,79.550003,83,74,82.589996,1392400,82.589996
5/13/2020,81.010002,83.5,78.370003,80.080002,948600,80.080002
5/14/2020,74.529999,79.370003,72.360001,78.970001,1387800,78.970001
5/15/2020,78.080002,80,77.599998,77.949997,520300,77.949997
5/18/2020,78,80.970001,76.919998,77.199997,879500,77.199997
5/19/2020,77.300003,79.713997,77.300003,78.199997,1019600,78.199997
5/20/2020,79,80.5,77.709999,78,1054300,78
5/21/2020,78.160004,78.470001,75.330002,76,512800,76
5/22/2020,75.589996,75.589996,72.040001,74.849998,1056000,74.849998
5/26/2020,75.889999,78.790001,74.849998,76,690600,76
5/27/2020,75.699997,78,74.010002,77.660004,535600,77.660004
5/28/2020,78.279999,79.389999,76.260002,76.290001,357700,76.290001
5/29/2020,76.559998,78.190002,76.010002,77.970001,877000,77.970001
6/1/2020,77.980003,82.360001,76.595001,81.949997,1226700,81.949997
6/2/2020,81.910004,82.237999,79.949997,80.5,776600,80.5
6/3/2020,81.169998,86.900002,80.599998,85.910004,1656000,85.910004
6/4/2020,84.410004,84.75,78.519997,79.699997,1288300,79.699997
6/5/2020,80.260002,82.529999,78.68,82.379997,722800,82.379997
